time,normal_flux,error_flux
2460428.471058294,0.9990405507577387,0.0023980660374414804
2460428.4725119844,0.9973694412383617,0.00239196033056292
2460428.473965673,1.0005024366874842,0.0023819372051867597
2460428.4754193556,0.9996526569557782,0.0023746770516036397
2460428.4768730486,1.0007095285762433,0.0023798145813550002
2460428.478326734,1.0026928764566359,0.0023850165168917
2460428.479780417,1.0006341065472526,0.00239948411380972
2460428.481234112,1.0003145884000086,0.00239786907652854
2460428.482687795,0.9995316790355442,0.0024193183810113797
2460428.484141483,0.9991972275770801,0.00243373780796222
2460428.485595173,1.0001111406251861,0.0024449968643858
2460428.4870488564,1.000860651532315,0.00245039845030614
2460428.488502542,0.9958555842957955,0.00248276403879802
2460428.4899562346,0.9989378082178852,0.0024832901561946
2460428.4914099174,0.9969471278220258,0.00251703849548244
2460428.4928636053,0.9940893137943269,0.00254471301103752
2460428.4943172946,0.9907686275079325,0.00256235697346186
2460428.495770978,0.9858193288048966,0.00261227335033798
2460428.497224671,0.9812542678124536,0.00264604217396146
2460428.4986783555,0.9807311129659692,0.00265067849562622
2460428.5001320387,0.9750451369273604,0.0027003519481928204
2460428.501585733,0.974081003572857,0.00271557727223658
2460428.5030394164,0.9737253946872173,0.0027195180431401
2460428.5044931015,0.969761506655607,0.00274548222508966
2460428.5059467913,0.9716766429500318,0.00274018281517552
2460428.5074004764,0.9668071823868676,0.00275852625546916
2460428.5088541643,0.9660483837396667,0.00274750396673722
2460428.510307854,0.9665653213691753,0.0027534068274747197
2460428.511761539,0.9640741334685394,0.00276946905644612
2460428.5132152243,0.9632287735327321,0.0027912116465091804
2460428.5146689136,0.9655863097744268,0.0027877263736791995
2460428.516122597,0.962951510708564,0.0028047653354291396
2460428.517576286,0.96400977154694,0.00280729296281802
2460428.5190299707,0.965619096652277,0.0028014642345689797
2460428.5204836614,0.9628611673529036,0.00281883934908122
2460428.5219373466,0.9611841578489964,0.00283106314907402
2460428.523391031,0.9611084156435933,0.00282794361746476
2460428.5248447186,0.9619037738848588,0.0028256908405332
2460428.5262984065,0.9622815096398918,0.00283218836600256
2460428.5277520935,0.9605564994669196,0.0028369071576423
2460428.5292057805,0.9612450576545006,0.00282739831413022
2460428.530659468,0.9639196721552155,0.00282275631107748
2460428.5321131526,0.9630998102765617,0.00283037019512676
2460428.5335668423,0.9623002476955189,0.00284458300770504
2460428.5350205274,0.9668267951684915,0.00283539388824264
2460428.5364742144,0.9667661924131762,0.00283946104145458
2460428.5379278967,0.9660919781737949,0.0028272049818592404
2460428.539381586,0.965585183623028,0.00281748521904348
2460428.540835271,0.9679123552356443,0.00280627884761726
2460428.54228896,0.9660631922257779,0.00282357858820284
2460428.5437426446,0.9690928556909517,0.0028257260667291
2460428.545196331,0.9685880197686517,0.0028290238029364803
2460428.546650019,0.9691430895526881,0.0028262336086531197
2460428.548103706,0.9710349918285199,0.0028022203378043997
2460428.5495573906,0.9720316930680089,0.00280473293148834
2460428.5510110827,0.973234647294797,0.00279405050959982
2460428.552464767,0.9743034969173048,0.0027905481736233
2460428.5539184515,0.9777377146253843,0.0027908588739777203
2460428.555372138,0.9839549875254662,0.00275683515804662
2460428.5568258227,0.9851239232030343,0.0027484746715308404
2460428.5582795073,0.9885298938029707,0.00272507484368736
2460428.5597331985,0.9928895739844095,0.0027063499176389
2460428.561186881,0.9972792518799605,0.0026982552704178193
2460428.562640568,0.997747949198627,0.00269678351961312
2460428.5640942543,0.9995936921255186,0.0026793696543562203
2460428.5655479436,1.0006045915582267,0.0026892099819809997
2460428.567001623,0.9984658156532106,0.00268905493924602
2460428.5684553143,0.9985464047859953,0.00269855456773798
2460428.569908999,0.9994835505506569,0.00269916471753632
2460428.5713626877,0.9995754898207545,0.0026936473203035597
2460428.5728163724,0.9999930317505115,0.00269813440597464
2460428.5742700566,1.001973058612744,0.0027054672301900996
2460428.575723743,1.0015036101447752,0.00272524850715576
2460428.577177432,1.0006463458455415,0.0027235902463684397
2460428.578631114,1.0000209336148682,0.00271330690795306
2460428.580084802,1.0016592385868368,0.00268773744617938
2460428.5815384844,1.001245327817979,0.0026771082086174
2460428.582992175,0.9998054655959271,0.0026818966692553
2460428.5844458593,0.99800007816442,0.0026795768183427
2460428.585899546,1.000543615410232,0.00267609392852002
2460428.5873532305,1.0022992313143768,0.0026874330385934803
2460428.588806919,1.0003547657939091,0.00269395843945702
2460428.5902606053,1.0011301638449877,0.00270014482556206
2460428.5917142886,1.00103388355073,0.0027188396090264398
2460428.5931679755,1.0003467799154433,0.0027303736936820397
2460428.594621664,1.000261862044678,0.00274716980280346
2460428.5960753458,1.0012009570340599,0.0027451143989742203
2460428.597529034,1.0003298721787433,0.00274450417519394
2460428.5989827137,1.000606523809304,0.00275157797660706
2460428.6004364067,1.0014285024672505,0.00274104835373006
2460428.601890086,0.998101437422996,0.0027669737940979
2460428.6033437746,1.0006600854233998,0.0027489644181659598
2460428.60479746,0.9978760770273821,0.00276591353288466
2460428.6062511415,0.9989464398108993,0.00277729124849948
2460428.607821127,0.9996726788768109,0.0033620208460957797
2460428.60944925,1.001259584569298,0.003938515809760181
2460428.6109610884,1.0003635892093314,0.00505597886542936
2460428.612647366,0.9998152310709563,0.0030402009113775
2460428.614537152,0.9974300972925684,0.0027808059516711246
